-125.0,-125.0
-95.51611022014869,-124.99999999999999
-53.17320309082957,-125.0
-32.220002915876954,-125.0
-26.953929144190113,-125.0
-24.516839189386207,-125.0
-20.459688001166352,-124.54279049424115
-15.761554162414345,-122.53025222335617
-10.35617436944161,-121.0320746464499
-5.929654468581429,-121.0
-2.3944452544102646,-121.0
2.2772998979443027,-121.03207464644991
7.167298440005825,-122.53025222335616
11.521504592506188,-124.54279049424115
15.516839189386207,-125.0
17.953929144190116,-125.0
23.220002915876947,-125.00000000000001
33.894736842105246,-125.0
44.94736842105261,-125.0
56.0,-125.0